match,sets,points_total,break_points,points_balance,serve_total,serve_errors,serve_aces,serve_efficiency_pct,reception_total,reception_errors,reception_positive_pct,reception_perfect_pct,attack_total,attack_errors,attack_blocked,attack_points,attack_success_pct,attack_efficiency_pct,block_points,block_touches,defences,assists,player_id,player_name,team,season,match_id,match_url,source_url,home_team,away_team
Aluron CMC Warta Zawiercie - PGE Projekt Warszawa,3,6,2,1,9,2,0,-22.0,1,1,0.0,0.0,13,1,0,4,30.0,23.0,2,0,2,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104579,https://www.tauronliga.pl/games/id/1104579.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,PGE Projekt Warszawa
Aluron CMC Warta Zawiercie - ZAKSA Kędzierzyn-Koźle,4,12,8,8,16,3,5,13.0,1,0,0.0,0.0,11,1,0,7,63.0,54.0,0,6,2,1,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104709,https://www.tauronliga.pl/games/id/1104709.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,ZAKSA Kędzierzyn-Koźle
Aluron CMC Warta Zawiercie - Steam Hemarpol Politechnika Częstochowa,3,16,9,13,10,2,2,0.0,2,0,100.0,0.0,17,1,0,11,64.0,58.0,3,4,1,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104581,https://www.tauronliga.pl/games/id/1104581.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,Steam Hemarpol Politechnika Częstochowa
Aluron CMC Warta Zawiercie - Cuprum Stilon Gorzów,3,14,9,12,10,1,0,10.0,0,0,,,14,1,0,10,71.0,64.0,4,8,2,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104631,https://www.tauronliga.pl/games/id/1104631.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,Cuprum Stilon Gorzów
Aluron CMC Warta Zawiercie - InPost ChKS Chełm,3,5,1,3,12,2,0,-17.0,0,0,,,5,0,0,4,80.0,80.0,1,3,1,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104592,https://www.tauronliga.pl/games/id/1104592.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,InPost ChKS Chełm
Aluron CMC Warta Zawiercie - BOGDANKA LUK Lublin,5,11,5,6,22,4,2,-5.0,1,0,100.0,0.0,13,1,0,7,53.0,46.0,2,5,5,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104643,https://www.tauronliga.pl/games/id/1104643.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,BOGDANKA LUK Lublin
Aluron CMC Warta Zawiercie - JSW Jastrzębski Węgiel,5,13,3,4,20,5,1,-20.0,1,1,0.0,0.0,15,2,1,10,66.0,46.0,2,2,4,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104601,https://www.tauronliga.pl/games/id/1104601.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,JSW Jastrzębski Węgiel
Aluron CMC Warta Zawiercie - Indykpol AZS Olsztyn,5,19,5,16,17,3,1,-6.0,0,0,,,21,0,0,17,80.0,80.0,1,5,1,1,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104627,https://www.tauronliga.pl/games/id/1104627.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,Indykpol AZS Olsztyn
Aluron CMC Warta Zawiercie - Asseco Resovia Rzeszów,3,7,3,4,11,2,1,0.0,1,0,0.0,0.0,10,0,0,4,40.0,40.0,2,6,3,2,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104605,https://www.tauronliga.pl/games/id/1104605.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,Asseco Resovia Rzeszów
Aluron CMC Warta Zawiercie - Barkom Każany Lwów,3,6,3,2,12,3,2,8.0,0,0,,,10,1,1,4,40.0,20.0,0,1,0,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104610,https://www.tauronliga.pl/games/id/1104610.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,Barkom Każany Lwów
Aluron CMC Warta Zawiercie - Energa Trefl Gdańsk,5,12,4,10,12,2,0,-17.0,0,0,,,16,0,0,9,56.0,56.0,3,2,5,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104615,https://www.tauronliga.pl/games/id/1104615.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,Energa Trefl Gdańsk
Aluron CMC Warta Zawiercie - PGE GiEK SKRA Bełchatów,4,9,3,5,13,4,0,-23.0,3,0,67.0,33.0,12,0,0,7,58.0,58.0,2,1,3,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104594,https://www.tauronliga.pl/games/id/1104594.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,PGE GiEK SKRA Bełchatów
Aluron CMC Warta Zawiercie - Ślepsk Malow Suwałki,3,16,10,14,14,2,3,14.0,0,0,,,14,0,1,9,64.0,57.0,4,2,0,1,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104622,https://www.tauronliga.pl/games/id/1104622.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,Ślepsk Malow Suwałki
Aluron CMC Warta Zawiercie - PGE Projekt Warszawa,3,7,3,3,11,2,3,9.0,1,1,0.0,0.0,8,1,1,4,50.0,25.0,0,1,1,1,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104650,https://www.tauronliga.pl/games/id/1104650.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,PGE Projekt Warszawa
Aluron CMC Warta Zawiercie - InPost ChKS Chełm,3,17,11,14,19,2,8,37.0,0,0,,,12,1,0,9,75.0,66.0,0,3,1,0,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104659,https://www.tauronliga.pl/games/id/1104659.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,InPost ChKS Chełm
Aluron CMC Warta Zawiercie - PGE GiEK SKRA Bełchatów,3,10,5,8,16,2,2,6.0,0,0,,,10,0,0,6,60.0,60.0,2,5,2,1,1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,2025/2026,1104661,https://www.tauronliga.pl/games/id/1104661.html,https://www.tauronliga.pl/statsPlayers/tournament_1/52/id/1579/nocookies/1.html,Aluron CMC Warta Zawiercie,PGE GiEK SKRA Bełchatów
