player_id,player_name,team,position,birth_date,height_cm,weight_kg,attack_reach_cm,season,profile_url
1579,Mateusz Bieniek,Aluron CMC Warta Zawiercie,Środkowy,1994-04-05,208,98,351,2025/2026,https://www.tauronliga.pl/players/id/1579/nocookies/1/section/playersByTeam/tour/52.html
270,Bartłomiej Bołądź,Aluron CMC Warta Zawiercie,Atakujący,1994-09-28,205,101,360,2025/2026,https://www.tauronliga.pl/players/id/270/nocookies/1/section/playersByTeam/tour/52.html
2868,Piotr Bursztyka,Aluron CMC Warta Zawiercie,Przyjmujący,2008-08-19,182,77,300,2025/2026,https://www.tauronliga.pl/players/id/2868/nocookies/1/section/playersByTeam/tour/52.html
786,Jakub Czerwiński,Aluron CMC Warta Zawiercie,Przyjmujący,2001-07-22,195,93,341,2025/2026,https://www.tauronliga.pl/players/id/786/nocookies/1/section/playersByTeam/tour/52.html
2533,Kyle Ensing,Aluron CMC Warta Zawiercie,Atakujący,1997-03-06,201,100,366,2025/2026,https://www.tauronliga.pl/players/id/2533/nocookies/1/section/playersByTeam/tour/52.html
982,Jurij Gladyr,Aluron CMC Warta Zawiercie,Środkowy,1984-07-08,202,96,360,2025/2026,https://www.tauronliga.pl/players/id/982/nocookies/1/section/playersByTeam/tour/52.html
314,Bartosz Kwolek,Aluron CMC Warta Zawiercie,Przyjmujący,1997-07-17,193,90,343,2025/2026,https://www.tauronliga.pl/players/id/314/nocookies/1/section/playersByTeam/tour/52.html
1908,Patryk Łaba,Aluron CMC Warta Zawiercie,Przyjmujący,1991-07-30,188,90,350,2025/2026,https://www.tauronliga.pl/players/id/1908/nocookies/1/section/playersByTeam/tour/52.html
35,Adrian Markiewicz,Aluron CMC Warta Zawiercie,Środkowy,2002-04-12,213,115,360,2025/2026,https://www.tauronliga.pl/players/id/35/nocookies/1/section/playersByTeam/tour/52.html
821,Jakub Nowosielski,Aluron CMC Warta Zawiercie,Rozgrywający,1993-02-11,193,86,330,2025/2026,https://www.tauronliga.pl/players/id/821/nocookies/1/section/playersByTeam/tour/52.html
478,Dawid Ogórek,Aluron CMC Warta Zawiercie,Libero,1990-07-30,184,80,343,2025/2026,https://www.tauronliga.pl/players/id/478/nocookies/1/section/playersByTeam/tour/52.html
825,Jakub Popiwczak,Aluron CMC Warta Zawiercie,Libero,1996-04-17,180,78,320,2025/2026,https://www.tauronliga.pl/players/id/825/nocookies/1/section/playersByTeam/tour/52.html
2532,Aaron Russell,Aluron CMC Warta Zawiercie,Przyjmujący,1993-06-04,205,95,356,2025/2026,https://www.tauronliga.pl/players/id/2532/nocookies/1/section/playersByTeam/tour/52.html
1728,Miguel Tavares Rodrigues,Aluron CMC Warta Zawiercie,Rozgrywający,1993-03-02,192,70,315,2025/2026,https://www.tauronliga.pl/players/id/1728/nocookies/1/section/playersByTeam/tour/52.html
1760,Miłosz Zniszczoł,Aluron CMC Warta Zawiercie,Środkowy,1986-07-02,201,100,345,2025/2026,https://www.tauronliga.pl/players/id/1760/nocookies/1/section/playersByTeam/tour/52.html
780,Jakub Bucki,Asseco Resovia Rzeszów,Atakujący,1988-08-13,197,94,343,2025/2026,https://www.tauronliga.pl/players/id/780/nocookies/1/section/playersByTeam/tour/52.html
1071,Karol Butryn,Asseco Resovia Rzeszów,Atakujący,1993-06-18,193,103,330,2025/2026,https://www.tauronliga.pl/players/id/1071/nocookies/1/section/playersByTeam/tour/52.html
1179,Klemen Čebulj,Asseco Resovia Rzeszów,Przyjmujący,1992-02-21,203,97,374,2025/2026,https://www.tauronliga.pl/players/id/1179/nocookies/1/section/playersByTeam/tour/52.html
2836,Danny Demyanenko,Asseco Resovia Rzeszów,Środkowy,1994-07-13,197,99,355,2025/2026,https://www.tauronliga.pl/players/id/2836/nocookies/1/section/playersByTeam/tour/52.html
338,Beau Graham,Asseco Resovia Rzeszów,Środkowy,1994-04-17,205,95,360,2025/2026,https://www.tauronliga.pl/players/id/338/nocookies/1/section/playersByTeam/tour/52.html
1443,Marcin Janusz,Asseco Resovia Rzeszów,Rozgrywający,1994-07-31,195,92,345,2025/2026,https://www.tauronliga.pl/players/id/1443/nocookies/1/section/playersByTeam/tour/52.html
2863,Igor Józefacki,Asseco Resovia Rzeszów,Przyjmujący,2007-08-22,200,90,350,2025/2026,https://www.tauronliga.pl/players/id/2863/nocookies/1/section/playersByTeam/tour/52.html
2433,Yacine Louati,Asseco Resovia Rzeszów,Przyjmujący,1992-03-04,198,97,345,2025/2026,https://www.tauronliga.pl/players/id/2433/nocookies/1/section/playersByTeam/tour/52.html
2861,Maksymilian Łysoń,Asseco Resovia Rzeszów,Atakujący,2007-03-30,200,80,355,2025/2026,https://www.tauronliga.pl/players/id/2861/nocookies/1/section/playersByTeam/tour/52.html
2385,Wiktor Nowak,Asseco Resovia Rzeszów,Rozgrywający,1999-05-21,186,84,320,2025/2026,https://www.tauronliga.pl/players/id/2385/nocookies/1/section/playersByTeam/tour/52.html
1612,Mateusz Poręba,Asseco Resovia Rzeszów,Środkowy,1999-08-24,204,102,360,2025/2026,https://www.tauronliga.pl/players/id/1612/nocookies/1/section/playersByTeam/tour/52.html
1707,Michał Potera,Asseco Resovia Rzeszów,Libero,1988-03-06,183,77,319,2025/2026,https://www.tauronliga.pl/players/id/1707/nocookies/1/section/playersByTeam/tour/52.html
382,Cezary Sapiński,Asseco Resovia Rzeszów,Środkowy,1994-09-28,203,105,350,2025/2026,https://www.tauronliga.pl/players/id/382/nocookies/1/section/playersByTeam/tour/52.html
574,Erik Shoji,Asseco Resovia Rzeszów,Libero,1989-08-24,183,74,330,2025/2026,https://www.tauronliga.pl/players/id/574/nocookies/1/section/playersByTeam/tour/52.html
2862,Piotr Skórski,Asseco Resovia Rzeszów,Rozgrywający,2007-07-24,190,80,335,2025/2026,https://www.tauronliga.pl/players/id/2862/nocookies/1/section/playersByTeam/tour/52.html
253,Artur Szalpuk,Asseco Resovia Rzeszów,Przyjmujący,1995-03-20,201,98,350,2025/2026,https://www.tauronliga.pl/players/id/253/nocookies/1/section/playersByTeam/tour/52.html
1274,Lukas Vasina,Asseco Resovia Rzeszów,Przyjmujący,1999-07-06,196,96,350,2025/2026,https://www.tauronliga.pl/players/id/1274/nocookies/1/section/playersByTeam/tour/52.html
487,Dawid Woch,Asseco Resovia Rzeszów,Środkowy,1997-05-16,200,90,350,2025/2026,https://www.tauronliga.pl/players/id/487/nocookies/1/section/playersByTeam/tour/52.html
1977,Paweł Zatorski,Asseco Resovia Rzeszów,Libero,1990-06-21,184,73,328,2025/2026,https://www.tauronliga.pl/players/id/1977/nocookies/1/section/playersByTeam/tour/52.html
980,Julius Firkal,Barkom Każany Lwów,Przyjmujący,1998-01-14,197,90,355,2025/2026,https://www.tauronliga.pl/players/id/980/nocookies/1/section/playersByTeam/tour/52.html
1786,Moussé Gueye,Barkom Każany Lwów,Środkowy,1996-11-11,198,78,365,2025/2026,https://www.tauronliga.pl/players/id/1786/nocookies/1/section/playersByTeam/tour/52.html
1272,Lukas Kampa,Barkom Każany Lwów,Rozgrywający,1986-11-29,195,90,340,2025/2026,https://www.tauronliga.pl/players/id/1272/nocookies/1/section/playersByTeam/tour/52.html
